Herb_	Herb_pinyin_name	Herb_cn_name	Herb_en_name	Herb_latin_name	Properties	Meridians	UsePart	Function	Indication	Toxicity	Clinical_manifestations	Therapeutic_en_class	Therapeutic_cn_class	TCMID_id	TCM_ID_id	SymMap_id	TCMSP_id
HERB005974	XIAN DI HUANG	鲜地黄	Adhesive Rehmannia Fresh Root	Rehmannia glutinosa [Syn. Rehmannia glutinosa f. huechingensis]	NA	NA	fresh root	To clear heat and cool blood, engender liquid and moisten dryness, lower blood sugar levels.	Diabetes mellitus, dermatitis, rheumatism, diphtheria, acute tonsillitis, acute febrile diseases, ardent fever with clouded spirit, macula, fluid damage with vexation and thirst, blood ejection due to blood heat, spontaneous external bleeding due to blood heat, flooding and spotting due to blood heat, hematochezia due to blood heat, mouth and tongue sores, swelling pain in throat, taxation fever cough, painful wound from knocks and falls, swollen welling abscess.	NA	NA	NA	NA	NA	3487	NA	NA
HERB005975	XIAN E HUANG LIAN	线萼黄连	Linearisepal Goldthread	Coptis linearisepala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1021	NA	NA
HERB005976	XIAN GENG XI XIAN	腺梗豨莶	Glandularstalk St Paulswort	Siegesbeckia orientalis var. pubescens [Syn. Siegesbeckia pubescens ]	NA	NA	aerial parts	See Siegesbeckia orientalis .	See Siegesbeckia orientalis.	NA	NA	NA	NA	NA	2947	NA	NA
HERB005977	XIAN HE CAO	仙鹤草	all - grss of Hairyvein Agrimonia	Herba Agrimoniae	Mild; Bitter; Punkery	Lung; Spleen; Liver	aerial parts	To arrest bleeding, to stop malarial attacks, to relieve dysentery, and to counteract toxicity.	Hemoptysis, blood ejection, flooding and spotting, malaria, blood dysentery, swelling toxin of wellingabscess and sore, pudendal itch, Vaginal discharge.	NA	1. Its active component agrimonine is a hemostatic.2. Cardiotonic in experimental animals.3. Trichomonacidal.	Astringent Hemostatic Medicinal	收敛止血药	SMHB00428	4918	428	750
HERB005978	XIAN HE CAO GEN	仙鹤草根	Japanese Agrimonia Root	Agrimonia pilosa var. japonica	NA	NA	root	To resolve toxin and kill worms.	Red and white dysentery, amenorrhea, toxin swelling, taeniasis.	NA	NA	NA	NA	NA	6185	NA	NA
HERB005979	XIAN HE CAO GEN YA	仙鹤草根芽	Japanese Argimonia Rhizome	Agrimonia pilosa var. japonica	NA	NA	rhizome	To expel tapeworm.	Taeniasis.	NA	NA	NA	NA	NA	6386	NA	NA
HERB005980	XIAN HUA XIANG CHA CAI	腺花香茶菜	Glandularflower Rabdosia	Rabdosia adenantha	NA	NA	stem-leaf	To clear heat and resolve toxin.	Heat toxin sores, diarrhea, dysentery.	NA	NA	NA	NA	NA	6606	NA	NA
HERB005981	XIAN HUANG XIAO BO	鲜黄小檗	Reddrop Barberry	Berberis diaphana	NA	NA	endoderm root bark and branch bark	To clear damp heat, resolve heat toxin.	Damp-heat dysentery, jaundice, vaginal discharge, heat toxin swollen welling abscess.	NA	NA	NA	NA	NA	7463	NA	NA
HERB005982	XIAN KE LAI	仙客来	Florists Cyclamen	Cyclamen persicum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7887	NA	NA
HERB005983	XIAN LING PI	仙灵脾	all-grass of Longspur epimedium	herba epimedii	Warm; Pungent; Sweet	Lung; Kidney	Epimediumbrevicornum Maxim.;Epimedium sagittatum (Sieb. et Zucc.) Maxim.;Epimedium pubescens Maxm.;Epimedium wushanense T. S. Ying;Epimedium koreanum Nakai 	Treatment of impotence, seminal emission, weakness of the limbs, rheumatic or rheumatoid arthralgia with numbness and muscle contracture, climacteric hypertension.	1. Dilating coronary artery and increasing coronary flow.2. Acting as androgenic hormone, such as increasing the weight of prostate, seminal vesicle and musculi levator ani in mice.3. Enhancing lymphocyte-blastogenesis rate.	NA	1. Dilating coronary artery and increasing coronary flow.2. Acting as androgenic hormone, such as increasing the weight of prostate, seminal vesicle and musculi levator ani in mice.3. Enhancing lymphocyte-blastogenesis rate.	For tonifying weakness	补虚	NA	1381	NA	751
HERB005984	XIAN MAI JU	NA	Glandularnerve Pepper	Piper bavinum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1683	NA	NA
HERB005985	XIAN MAI XIANG CHA CAI	显脉香茶菜	Veined Rabdosia	Rabdosia nervosa	NA	NA	whole herb	To disinhibit damp and harmonize stomach, resolve toxin and close sores.	Acute hepatitis, indigestion, pemphigus, eczema, itchy skin, burns and scalds, poisonous snake bites.	NA	NA	NA	NA	NA	2166	NA	NA
