Herb_	Herb_pinyin_name	Herb_cn_name	Herb_en_name	Herb_latin_name	Properties	Meridians	UsePart	Function	Indication	Toxicity	Clinical_manifestations	Therapeutic_en_class	Therapeutic_cn_class	TCMID_id	TCM_ID_id	SymMap_id	TCMSP_id
HERB000636	CHA ZI XIN	茶子心	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4795	NA	NA
HERB000637	CHA ZI YUAN BAI	叉子圆柏	Savin Juniper	Juniperus sabina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6335	NA	NA
HERB000638	CHAI HU	柴胡	root of Chinese Thorowax	Radix Bupleuri	Minor cold; Pungent; Bitter	Liver; Gallbladder	root	To relieve fever, to soothe the liver, and to cure drooping and ptosis.	Common cold, influenza, malaria, acute pancreatitis, pleuritis, neuritis, gastritis, acute cholecystitis, hepatitis, fever due to external contraction, keratitis, cold-heat in turn, liver depression and rib-side pain, mammary distention, dizziness and headache, menstrual disorder, prolapse of rectum due to qi vacuity fall, prolapse of uterus, gastroptosis.	NA	1. Increasing the hypotic effect of barbital in mice. 2. Analgesic, anti-inflammatory, antitussive and antipyretic. 3. Decreasin the damage of liver by CCl4 and increasing biliary secretion in rats.4. Hemolytic in vitro.5. Lowering blood pressure in rabbi	Pungent Cool Diaphoretics	辛凉解表药	SMHB00058	3396	58	80
HERB000639	CHAI HU ZHUANG QIAN LI GUANG	柴胡装千里光	Thorowax-like Groundsel	Senecio bupleuroides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6661	NA	NA
HERB000640	CHAI HU ZHUNG QIAN LI GUANG	柴胡装千里光	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6530	NA	NA
HERB000641	CHAI HUANG JIANG	柴黄姜	Rosthorn Yam	Dioscorea nipponica ssp. rosthornii	NA	NA	rhizome	See Dioscorea nipponica.	See Dioscorea nipponica.	NA	NA	NA	NA	NA	6308	NA	NA
HERB000642	CHAI HUNG JIANG	柴黄姜	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1556	NA	NA
HERB000643	CHAI SHOU	NA	Chaishou Thorowax	Bupleurum chaishoui	NA	NA	root	See Bupleurum chinense .	See Bupleurum chinense.	NA	NA	NA	NA	NA	7585	NA	NA
HERB000644	CHAMPA	NA	Palillo (in local names)	Campomanesia lineatifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3424	NA	NA
HERB000645	CHAN CHU	蟾蜍	Toad	Bufo bufo gargarizans, Bufo melanostictus	NA	NA	whole body	To resolve toxin and dissipate binds, disperse accumulation and disinhibit water, kill worms and disperse gan .	Welling abscess and flat abscess, clove sore, effusion of back, scrofula, malign sore, concretion and accumulation, ascites, edema, child gan accumulation, tetanus, chronic cough and asthma.	NA	NA	NA	NA	NA	4491	NA	NA
HERB000646	CHAN CHU DAN	蟾蜍胆	Toad Gall	Bufo bufo gargarizans, Bufo melanostictus	NA	NA	gall	To suppress cough and dispel phlegm, resolve toxin and dissipate binds.	Trachitis, child aphonia, scrofula in early stage, clove sore of nose.	NA	NA	NA	NA	NA	6698	NA	NA
HERB000647	CHAN GAO MU JIANG ZI	潺槁木姜子	Gluey Litse	Litsea glutinosa	NA	NA	bark and leaf	To draw out toxin and engender flesh, stanch bleeding, disperse swelling and relieve pain.	Swollen welling abscess, sore and boil, knocks and falls, bleeding due to external injury.	NA	NA	NA	NA	NA	4212	NA	NA
HERB000648	CHAN PI	蟾皮	Toad Skin	Bufo bufo gargarizans, Bufo melanostictus	NA	NA	skin	To clear heat and resolve toxin, disinhibit water and disperse distention.	Welling abscess and flat abscess, toxin swelling, scrofula, eczema, gan accumulation, chronic trach itis.	NA	NA	NA	NA	NA	4887	NA	NA
HERB000649	CHAN RAO HUANG TAN	黄檀	Voluble Rosewood	Dalbergia volubilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7100	NA	NA
HERB000650	CHAN SU	蟾酥	Toad Skin Secretion Cake	Bufo bufo gargarizans, Bufo melanostictus	Warm; Pungent	Heart	dried secretion of skin glands	To resolve toxin, relieve pain, open orifices and arouse spirit.	Welling abscess and flat abscess with clove sores, swelling pain in throat, summerheat stroke with vomiting and diarrhea, abdominal pain and clouded spirit, local anesthesia.	Toxic	NA	Anaesthesia	麻醉止痛	NA	1654	NA	81
HERB000651	CHAN TUI	蝉蜕	Cicada Slough	Periostracum Cicadae	Cold; Sweet	Lung; Liver	Cryptotympana pustulate Fabricius	Treatment of upper respiratory infection with sore throat, hoarseness of voice, measles with inadequate eruption, urticaria with itching, inflammation of the eye with formation of corneal opacity, convulsion, tetanus.	Treatment of upper respiratory infection with sore throat, hoarseness of voice, measles with inadequate eruption, urticaria with itching, inflammation of the eye with formation of corneal opacity, convulsion, tetanus.	NA	NA	For relieving exterior syndrome	解表	SMHB00059	2179	NA	82
HERB000652	CHAN YANG	NA	American Aspen	Populus tremuloides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6273	NA	NA
HERB000653	CHAN YI TENG	蝉翼藤	Cicadawingvine	Securidaca inappendiculata	NA	NA	root	To dispel wind and eliminate damp, dissipate stasis and relieve pain.	Knocks and falls, wind-damp bone pain, acute gastroenteritis, allergic dermatitis.	NA	NA	NA	NA	NA	6552	NA	NA
HERB000654	CHANG BAI SHAN BAO CHUN	长白山报春	Changpai Mountains Primrose	Primula modesta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6253	NA	NA
HERB000655	CHANG BAI SONG	长白松	Pinus sylvestris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7771	NA	NA
HERB000656	CHANG BAN JIN LIAN HUA	长瓣金莲花	Langpetal Globeflower	Trollius macropetalus	NA	NA	flower	To clear heat and resolve toxin.	Infection of upper respiratory tract, acute or chronic tonsillitis, acute conjunctivitis, acute otitis media, acute lymphangitis, acute dysentery, acute appendicitis.	NA	NA	NA	NA	NA	3647	NA	NA
HERB000657	CHANG BIAN HU JIAO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2487	NA	NA
HERB000658	CHANG BIAN HUA DANG GUI	NA	Longradiate Angelica	Angelica longeradiata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3563	NA	NA
HERB000659	CHANG BING FENG WEI JUE	长柄凤尾蕨	Pretty Brake	Pteris bella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1293	NA	NA
HERB000660	CHANG BING HU JIAO	长柄胡椒	Longstalk Pepper	Piper sulvaticum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6707	NA	NA
HERB000661	CHANG BING QI YE SHU	长柄七叶树	Assam Horsechestnut	Aesculus assamica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5565	NA	NA
HERB000662	CHANG BING YUAN BAI	长柄圆柏	Longpetiole Juniper	Juniperus macropoda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4831	NA	NA
HERB000663	CHANG CHUN HUA	长春花	Madagascar Periwinkle	Catharanthus roseus	NA	NA	whole herb	To resolve toxin, clear heat and calm liver, anticancer.	Hypertension, swelling toxin of welling abscess and sore, scalds.	NA	1. Vinblastine and vincristine are the active componens which inhibit leukemia and other cancers. They interfere with mitosis and inhibit synthesis of purine, DNA and RNA. 2. Lowering blood pressure and the level of blood sugar. 3. Diuretic. 4. Vinblastin	NA	NA	NA	5384	NA	911
HERB000664	CHANG CHUN TENG	常春藤	Chinese Ivy Equivalent plant: Hedera rhombea	Hedera nepalensis var. sinensis	NA	NA	stem-leaf	To dispel wind and disinhibit damp, harmonize blood and resolve toxin.	Wind-damp impediment pain, paralysis, deviated eyes and mouth, spontaneous external bleeding, menstrual disorder, knocks and falls, swelling pain in throat, clove boil and swollen welling abscess, hepatitis, snake or insect bites.	NA	NA	NA	NA	NA	8180	NA	NA
HERB000665	CHANG CHUN YOU MA TENG	常春油麻藤	Evergreen Mucuna	Mucuna sempervirens	NA	NA	stem	To quicken blood and regulate menstruation, supplement blood and soothe sinews.	Menstrual disorder, dysmenorrhea, amenorrhea, postpartum anemia, blood vacuity, wind-damp impediment pain, numbness in limbs, knocks and falls.	NA	NA	NA	NA	NA	4804	NA	NA
HERB000666	CHANG DI YU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4996	NA	NA
HERB000667	CHANG E JIN LIAN MU PI	长萼金莲木皮	Macrocalyx Ochna Bark	Ochna macrocalyx	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5855	NA	NA
HERB000668	CHANG E QU MAI	长萼瞿麦	Longcalyx Pink	Dianthus superbus var. longicalycinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1546	NA	NA
HERB000669	CHANG E XIANG CHA CAI	长萼香茶菜	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2650	NA	NA
HERB000670	CHANG GENG BAI RUI CAO	长梗百蕊草	Thesium chinense Turcz.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3515	NA	NA
HERB000671	CHANG GENG CU FEI	长梗粗榧	Longstalk Plumyew	Cephalotaxus harringtonia var. drupacea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4865	NA	NA
HERB000672	CHANG GENG DONG QING	长梗冬青	Longpedicel Holly	Ilex pedunculosa	NA	NA	leaf, branch-leaf	To dispel wind and eliminate damp, dissipate stasis and stanch bleeding.	Wind-damp impediment pain, bleeding due to external injury, knocks and falls, cracking of skin, scar.	NA	NA	NA	NA	NA	2050	NA	NA
HERB000673	CHANG GENG JIAO GU LAN	长梗绞股蓝	longstalk Gynostemma	Gynostemma longipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2333	NA	NA
HERB000674	CHANG GENG NAN WU WEI ZI	长梗南五味子	Longpeduncle Kadsura	Kadsura peltigera [Syn. Kadsura longipedunculata ]	NA	NA	root or root cortex	To move qi, quicken blood, relieve pain.	Qi stagnation abdominal distention, abdominal pain, stomachache, pain in sinews and bones, dysmenorrhea, knocks and falls, innominate toxin swelling.	NA	NA	NA	NA	NA	6463	NA	NA
HERB000675	CHANG GENG YU LI REN	长梗郁李仁	Longpedicel Chinese Buscherry Seed	Prunus japonica var. nakaii	NA	NA	ripe seed	See Prunus japonica .	See Prunus japonica .	NA	NA	NA	NA	NA	1086	NA	NA
HERB000676	CHANG GUAN JIA MO LI	长管假茉莉	Indian Glorybower	Clerodendron indicum	NA	NA	whole herb	To eliminate inflammation and disinhibit urine, quicken blood and disperse swelling, dispel wind-damp.	Urinary tract infection, cystitis, sprain from knocks and falls, wind-damp bone pain.	NA	NA	NA	NA	NA	3351	NA	NA
HERB000677	CHANG GUAN XIANG CHA CAI	长管香茶菜	Longtube Rabdosia	Rabdosia longituba	NA	NA	root, leaf or whole herb	To clear heat and resolve toxin, disperse swelling and relieve pain.	Summerheat stroke with abdominal pain, urinary tract infection, mastitis, painful wound from knocks and falls, agkistrodon bite.	NA	NA	NA	NA	NA	7588	NA	NA
HERB000678	CHANG GUAN XUAN CAO	长管萱草	Longtube Daylily	Hemerocallis longituba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5987	NA	NA
HERB000679	CHANG GUO BI BA	长果荜茇	Petrofracted Pepper	Piper retrofractum	NA	NA	frult	To warm center and fortify stomach, dispel cold and relieve pain.	Stomach cold pain, distention fullness in stomach duct.	NA	NA	NA	NA	NA	8119	NA	NA
HERB000680	CHANG GUO SHAN CHENG	长果山橙	Melodinus henryi Craib	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2908	NA	NA
HERB000681	CHANG GUO XUE DAN	长果雪胆	Longfruit Hemsleya	Hemsleya dolichocarpa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6065	NA	NA
HERB000682	CHANG GUO YING SU	长果罂粟	Long-headed Poppy	Papaver dubium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2069	NA	NA
HERB000683	CHANG HU JIAO	长胡椒	NA	Piper elongatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5744	NA	NA
HERB000684	CHANG HUA BAN KE YA SHU	长话版克亚树	Longpetal Vouacapoua	Vouacapoua macropetala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5878	NA	NA
HERB000685	CHANG HUA GOU TENG	长话钩藤	Longflower Gambirplant	Uncaria longiflora	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1288	NA	NA
HERB000686	CHANG HUA RUI MU	NA	Longflower Kopsia	Kopsia longiflora	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7715	NA	NA
HERB000687	CHANG HUA TU LA SHU	长话图拉书	Longflower Galipea	Galipea longiflora	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2571	NA	NA
HERB000688	CHANG HUA XIE CAO	NA	Longflower Valerian	Centranthus longiflorus ssp. longiflorus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6435	NA	NA
HERB000689	CHANG HUA XU MA QIAN ZI	马钱子	Longthyrsus Poisonnut	Strychnos dolichothyrsa	NA	NA	NA	NA	NA	NA	NA	NA	NA	SMHB00270	5690	NA	NA
HERB000690	CHANG HUI AN	长喙桉	Long-rostrate Eucalyptus	Eucalyptus rostrata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6174	NA	NA
HERB000691	CHANG JI HUANG	NA	NA	Rheum sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5425	NA	NA
HERB000692	CHANG JIAO DOU	长角豆	Carob	Ceratonia siliqua	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7832	NA	NA
HERB000693	CHANG JIE ZHU	NA	Laevigate Parameria	Parameria laevigata	NA	NA	stem cortex or root cortex	To supplement kidney and strengthen lumbus, dissipate stasis and relieve pain.	Kidney vacuity lumbago, pain in sinews and bones, knocks and falls, snake bite.	NA	NA	NA	NA	NA	5977	NA	NA
HERB000694	CHANG JU YAN HU SUO	长距延胡索	Longspur Corydalis	Corydalis longicalcarata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6537	NA	NA
HERB000695	CHANG LU GOU WEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7505	NA	NA
HERB000696	CHANG LV GOU WEN	NA	Carolina Jasmine	Gelsemium sempervirens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1180	NA	NA
HERB000697	CHANG MAO FENG MAO JU	长毛风毛菊	Hawkweed-like Saussurea	Saussurea superba [Syn. Saussurea hieracioides ]	NA	NA	whole herb	To drain water retension.	Edema, ascites (hydroperitoneum), effusion in thorax.	NA	NA	NA	NA	NA	2161	NA	NA
HERB000698	CHANG MAO HAN XIAO	绒叶含笑	Longhairy Michelia	Michelia lanuginosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6140	NA	NA
HERB000699	CHANG MAO XIANG KE KE	长毛香科科	Pilose Germander	Teucrium pilosum [Syn. Teucrium japonicum var. pilosum]	NA	NA	whole herb	To dispel wind and effuse exterior, clear heat and resolve toxin, relieve itch.	Wind-heat common cold, sore swollen throat, mumps, pulmonary welling abscess, dysentery, lacquer sore, eczema, scab and lichen, wind papules [=rubella].	NA	NA	NA	NA	NA	1426	NA	NA
HERB000700	CHANG MAO ZI YUAN ZHI	长毛籽远志	Longhair Milkwort	Polygala wattersii	NA	NA	root or leaf	To resolve toxin, dissipate stasis.	Mammary welling abscess, innominate toxin swelling, knocks and falls.	NA	NA	NA	NA	NA	7111	NA	NA
HERB000701	CHANG NIU JIAO GUA	NA	Long Calotrope	Calotropis procera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1843	NA	NA
HERB000702	CHANG PU	菖蒲	rhizome of Grassleaf sweetflag.	Rhizoma Acori graminei	Warm; Pungent; Bitter	Stomach; Heart	Acorus gramineus Soland	NA	NA	NA	NA	NA	NA	NA	1235	NA	83
HERB000703	CHANG QIAN HU	长前胡	Radix Peucedani turgeniifolii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1892	NA	NA
HERB000704	CHANG ROU MAO WEI LING CAI	长柔毛委陵菜	Velutinous Cinquefoil	Potentilla griffithii var. velutina	NA	NA	root	To rectify qi and disperse food, promote contraction and stanch bleeding, clear heat and quicken blood.	Food accumulation stomachache, gastri c ulcer, duodenal ulcer, child gan accumulation, dysentery, incessant postpartum bleeding, infant fright wind, facial paralysis.	NA	NA	NA	NA	NA	5367	NA	NA
HERB000705	CHANG RUI LIU LI CAO	长蕊琉璃草	Circinate Solenanthus	Solenanthus circinatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1547	NA	NA
HERB000706	CHANG SHAN	常山	root of antifebrile Dichroa	Radix Dichroae	Cold; Pungent; Bitter	Lung; Liver; Heart	root	To expel phlegm and relieve malaria	Malaria, scrofula.	Extremely Toxic	Alpha, beta and gama-Dirchroine are three active components. 1. All of them are antimalarial agents. Gama-Dichroine being the most effecitve. 2. Beta-Dichroine is also an amebicide which is stronger than emetine. 3. Alpha and beta-Dichroine can reduce vac	Emetic Medicinal	涌吐药	SMHB00060	7342	60	84
HERB000707	CHANG SHENG TIE JIAO JUE	长生铁角蕨	Prolongated Spleenwort	Asplenium prolongatum	NA	NA	whole herb or leaf	To clear heat and remove damp, transform stasis and stanch bleeding.	Cough and abundant phlegm, wind-damp impediment pain, enteritis and dysentery, urinary tract infection, mastitis, blood ejection, bleeding due to external injury, knocks and falls, burns and scalds.	NA	NA	NA	NA	NA	1146	NA	NA
HERB000708	CHANG SHUO HUANG MA	长蒴黄麻	Jews-mallow	Corchorus olitorius	NA	NA	whole herb	To course wind, relieve cough, disinhibit damp.	Common cold with cough, dysentery, eczema.	NA	NA	NA	NA	NA	6347	NA	NA
HERB000709	CHANG SUI BA DOU	巴豆	LongspikeCroton	Croton macrostachys	NA	NA	NA	NA	NA	NA	NA	NA	NA	SMHB00006	2030	NA	NA
HERB000710	CHANG SUI DI YU	长穗地榆	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4808	NA	NA
HERB000711	CHANG TONG HAN HUA	NA	Cylinder Immortelle	Xeranthemum cylindraceum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8074	NA	NA
HERB000712	CHANG TONG QU MAI	长筒瞿麦	Dianthussuperbus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2642	NA	NA
HERB000713	CHANG TONG HAN HUA	NA	Acuminate Lasianthus	Lasianthus acuminatissimus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3371	NA	NA
HERB000714	CHANG WEI FU YE ER JUE	长尾复叶耳蕨	Simple Arachniodes	Arachniodes simplicior	NA	NA	rhizome	To clear heat and resolve toxin.	Internal heat and abdominal pain.	NA	NA	NA	NA	NA	7046	NA	NA
HERB000715	CHANG WEI PO PO NA	长尾婆婆纳	Longleaf Speedwell	Veronica longifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3790	NA	NA
HERB000716	CHANG XIANG MAO	香茅	Long Lemongrass	Cymbopogon procerus	NA	NA	NA	NA	NA	NA	NA	NA	NA	SMHB00434	7306	NA	NA
HERB000717	CHANG XU XIE CAO	NA	Hardwick Valeriana	Valeriana hardwickii	NA	NA	root or whole herb	To quicken blood and regulate menstruation, dispel wind and disinhibit damp, fortify spleen and disperse accumulation.	Menstrual disorder, dysmenorrhea, amenorrhea, wind-damp impediment pain, inhibited urination, painful wound from knocks and falls, angitis.	NA	NA	NA	NA	NA	3832	NA	NA
HERB000718	CHANG YANG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7413	NA	NA
HERB000719	CHANG YAO GE CHONG LOU	长药隔重楼	Tibet Paris	Paris polyphylla var. pseudothibetica	NA	NA	rhizome	See Paris polyphylla .	See Paris polyphylla .	NA	NA	NA	NA	NA	4539	NA	NA
HERB000720	CHANG YE AI JU	长叶艾菊	Longleaf Tansy	Tanacetum longifolium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5984	NA	NA
HERB000721	CHANG YE AN LUO	长叶暗罗	India Greenstar	Polyalthia longifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4092	NA	NA
HERB000722	CHANG YE BO HE	长叶薄荷	Herba Menthae Piperitae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6888	NA	NA
HERB000723	CHANG YE BO YE DA HUANG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2752	NA	NA
HERB000724	CHANG YE CHANG CHUN HUA	长叶长春花	Longleaf Periwinkle	Catharanthus longifolius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5603	NA	NA
HERB000725	CHANG YE CHE QIAN	长叶车前	Buckhorn Plantain	Plantago lanceolata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6448	NA	NA
HERB000726	CHANG YE DI YU	长叶地榆	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7668	NA	NA
HERB000727	CHANG YE FEI SHU	长叶榧树	Jack Torreya	Torreya jackii	NA	NA	branch-leaf	To lower blood pressure, anticancer.	Hypertension.	NA	NA	NA	NA	NA	2559	NA	NA
HERB000728	CHANG YE GE NA XIANG	长叶哥纳香	Longleaf Goniothalamus	Goniothalamus gardneri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3362	NA	NA
HERB000729	CHANG YE HOU KE GUI	长叶厚壳桂	Longleaf Cryptocarya	Cryptocarya longifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1216	NA	NA
HERB000730	CHANG YE KUAN MU	NA	NA	Eurycoma longifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3691	NA	NA
HERB000731	CHANG YE MAN MI PING GUO	NA	Longleaf Mammey	Mammea longifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4385	NA	NA
HERB000732	CHANG YE QIAN LI GUANG	长叶千里光	Longleaf Groundsel	Senecio longifolius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6913	NA	NA
HERB000733	CHANG YE SHUI MA	长叶水麻	Longleaf Debregeasia	Debregeasia longifolia	NA	NA	stem-leaf	To dispel wind and relieve cough, clear heat and disinhibit damp.	Wind damage and common cold, cough, heat inpediment, cystitis, innominate toxin swelling, toothache.	NA	NA	NA	NA	NA	5562	NA	NA
HERB000734	CHANG YE SONG	长叶松	Long-leaved Pine	Pinus palustris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5337	NA	NA
HERB000735	CHANG YE TIAN MING JING	长叶天名精	Longleaf Carpesium	Carpesium longifolium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6959	NA	NA
HERB000736	CHANG YE XIANG CHA CAI	长叶香茶菜	Longleaf Rabdosia	Rabdosia stracheyi	NA	NA	whole herb	To clear heat and disinhibit damp, quicken blood and dissipate stasis.	Acute icterohepatitis, acute cholecystitis, edema, summerheat stroke, stasis pain from knocks and falls, mammary sore.	NA	NA	NA	NA	NA	3259	NA	NA
HERB000737	CHANG YU YE LUO BO	长叶野萝卜	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7913	NA	NA
HERB000738	CHANG YUAN XIN XING HU TONG	NA	Cordate-oblong Beautyleaf	Calophyllum cordato-oblongum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4558	NA	NA
HERB000739	CHANG YUAN YE XIAO BO	长圆叶小波	Oblong-leaved Barberry	Berberis oblonga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7230	NA	NA
HERB000740	CHANG ZHU TANG SONG CAO	唐松草	Longstyle Meadowrue	Thalictrum longistylum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1432	NA	NA
HERB000741	CHANG ZI MA QIAN	长籽马钱	Wallich Poisonnut	Strychnos wallichiana	NA	NA	seed	See Strychnos nux-vomica .	See Strychnos nux-vomica.	NA	NA	NA	NA	NA	6830	NA	NA
HERB000742	CHANGBIAN HUA DANG GUI	当归	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SMHB00095	7867	NA	NA
HERB000743	CHAO AO DING CAO	NA	NA	Laurencia nidifica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3395	NA	NA
HERB000744	CHAO FENG CAO	潮风草	Acuminate Swallowwort	Cynanchum ascyrifolium	NA	NA	root	See Tylophora ovata .	See Tylophora ovata .	NA	NA	NA	NA	NA	8093	NA	NA
HERB000745	CHAO MAI YA	炒麦芽	Prepared Germinated Barley	Fructus Hordei germinatus Preparata	Mild; Sweet	Spleen; Stomach; Liver	Hordeum vulgare L.	Treament of unprocessed Fructus Hordei Germinatus: Anorexia due to diminished function of the spleen , galactostasis.Fructus Hordei Germinatus (stir-fried): Indigestion, weaning a baby.Fructurs Hordei Germinatus (charred): Retention of undigested food with epigastric distension and pain.	Its decoction promotes the secretion of pepsin and gastric juice.	NA	Its decoction promotes the secretion of pepsin and gastric juice.	Food digestion	消食	NA	1327	NA	85
HERB000746	CHAO SHAN JIA	炒山甲	Anteater scales Preparata	Squama manitis	Minor cold; Salty	Stomach; Liver	Manis pentadactyla Linnaeus	Treatment of amenorrhea with mass formation in the abdomen, galactostasis, carbuncles and sores, arthralgia with numbness and muscular contracture.	Raising the level of white blood cells.	NA	Raising the level of white blood cells.	Blood activation and stasis removal	活血化淤	NA	4657	NA	86
HERB000747	CHAO SHAN JIA ZHU	炒山甲珠	Anteater scales Preparata	Squama manitis	Minor cold; Salty	Stomach; Liver	Manis pentadactyla Linnaeus	Treatment of amenorrhea with mass formation in the abdomen, galactostasis, carbuncles and sores, arthralgia with numbness and muscular contracture.	Raising the level of white blood cells.	NA	Raising the level of white blood cells.	Blood activation and stasis removal	活血化淤	NA	7216	NA	87
HERB000748	CHAO SHEN QU	炒神曲	Medicated leaven	Massa fermentata medicinalis Preparata	Warm; Pungent; Sweet	Spleen; Stomach	Armented annua.;Xanthium sibixicum.;Polygonum hydropiper	NA	NA	NA	NA	Food digestion	消食	NA	6326	NA	88
HERB000749	CHAO SU ZI	炒苏子	Prepared Purple perilla fruit, Prepared Perilla seed	Fructus Perillae Preparata	Warm; Pungent	Lung; Large Intestine	Perilla frutescens (L.) Britt.	Treatment of: 1. Upward perversion of lung qi caused by excessive phlegm fluid manifested as cough with white profuse sputum, or asthma and fullness and stifling sensation in the chest and hypochondriac region. Perilla seed (Suzi) is used with White mustard seed (Baijiezi) and Radish seed (Laifuzi) in the formula Sanzi Yangqing Tang. 2. Constipation due to dryness in the intestines. Perilla seed (Suzi) is used with Hemp seed (Huomaren), Trichosanthes seed (Gualouren) and Apricot seed (Xingren).	Treatment of: 1. Upward perversion of lung qi caused by excessive phlegm fluid manifested as cough with white profuse sputum, or asthma and fullness and stifling sensation in the chest and hypochondriac region. Perilla seed (Suzi) is used with White musta	NA	NA	For desolving phlegm, stopping cougth, and soothing breathing	化痰止咳平喘	NA	6627	NA	89
HERB000750	CHAO XIAN BAI TOU WENG	朝鲜白头翁	Korean Pulsatilla	Pulsatilla cernua	NA	NA	root	See Pulsatilla chinensis .	See Pulsatilla chinensis.	NA	NA	NA	NA	NA	6586	NA	NA
HERB000751	CHAO XIAN CANG ZHU	朝鲜苍术	Koraen Atractylodes	Atractylodes koreana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4417	NA	NA
HERB000752	CHAO XIAN DA BAI LI XIANG	NA	Korean Big Thyme	Thymus magnus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6851	NA	NA
HERB000753	CHAO XIAN DANG GUI	朝鲜当归	Gigantic Angelica	Angelica gigas	NA	NA	root	To extinguish wind and harmonize blood.	Pain in joints, wrenching and contusion.	NA	NA	NA	NA	NA	6130	NA	NA
